dept_no,emp_no,from_date,to_date
d001,110022,1/1/1985,10/1/1991
d001,110039,10/1/1991,1/1/9999
d002,110085,1/1/1985,12/17/1989
d002,110114,12/17/1989,1/1/9999
d003,110183,1/1/1985,3/21/1992
d003,110228,3/21/1992,1/1/9999
d004,110303,1/1/1985,9/9/1988
d004,110344,9/9/1988,8/2/1992
d004,110386,8/2/1992,8/30/1996
d004,110420,8/30/1996,1/1/9999
d005,110511,1/1/1985,4/25/1992
d005,110567,4/25/1992,1/1/9999
d006,110725,1/1/1985,5/6/1989
d006,110765,5/6/1989,9/12/1991
d006,110800,9/12/1991,6/28/1994
d006,110854,6/28/1994,1/1/9999
d007,111035,1/1/1985,3/7/1991
d007,111133,3/7/1991,1/1/9999
d008,111400,1/1/1985,4/8/1991
d008,111534,4/8/1991,1/1/9999
d009,111692,1/1/1985,10/17/1988
d009,111784,10/17/1988,9/8/1992
d009,111877,9/8/1992,1/3/1996
d009,111939,1/3/1996,1/1/9999
